$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   3 Camila Batmanghelidjh,Unknown
   3 Brian Wilson (Labour politician),Unknown
   3 Brian Souter,Unknown
   3 Brian Cox (actor),Unknown
   3 Brenda Maddox,Unknown
   3 Brandon Lewis,Conservative Party
   3 Bianca Jagger,Unknown
   3 Becky Tinsley,Unknown
   3 Barbara Roche,Labour Party
   3 Austin Mitchell,Labour Party
   3 Anthony Sampson,Unknown
   3 Anne Jones,Unknown
   3 Alistair Carmichael,Liberal Party
   3 Alice Thomson,Unknown
   3 "Usha Prashar, Baroness Prashar",Unknown
   3 "Susan Greenfield, Baroness Greenfield",Unknown
   3 "Richard Holme, Baron Holme of Cheltenham",Unknown
   3 "Pauline Perry, Baroness Perry of Southwark",Conservative Party
   3 "Paul Murphy, Baron Murphy of Torfaen",Labour Party
   3 "Noel Annan, Baron Annan",Unknown
   3 "Navnit Dholakia, Baron Dholakia",Liberal Party
   3 "Matthew Oakeshott, Baron Oakeshott of Seagrove Bay",Unknown
   3 "Margaret Jay, Baroness Jay of Paddington",Labour Party
   3 "John Taylor, Baron Kilclooney",Crossbench
   3 "Janet Young, Baroness Young",Conservative Party
   3 "Ivor Richard, Baron Richard",Labour Party
   3 "Don Foster, Baron Foster of Bath",Liberal Party
   3 "David Young, Baron Young of Graffham",Conservative Party
   3 "Brian Paddick, Baron Paddick",Liberal Party
   3 "Bill Morris, Baron Morris of Handsworth",Unknown
   3 "Barbara Wootton, Baroness Wootton of Abinger",Unknown
   3 "Alan Watson, Baron Watson of Richmond",Unknown
   2 Zoe Williams,Unknown
   2 Winnie Ewing,Scottish National Party
   2 Willie Walsh (businessman),Unknown
   2 Willie Rennie,Liberal Party
   2 William Shawcross,Unknown
   2 Will Young,Unknown
   2 Will Hutton,Unknown
   2 Wayne Hemingway,Unknown
   2 Victoria Glendinning,Unknown
   2 Vanessa Redgrave,Unknown
   2 Trevor Kavanagh,Unknown
   2 Tommy Sheridan,Solidarity (Scotland)
   2 Timothy Raison,Conservative Party
   2 Tim Rice,Unknown
   2 Tim Melville-Ross,Unknown
   2 Tess Gill,Unknown
   2 Terry Marsland,Unknown
   2 Tanni Grey-Thompson,Unknown
   2 Suzanne Reeve,Unknown
   2 Susan Crosland,Unknown
   2 Suella Braverman,Conservative Party
   2 Stuart Rose,Unknown
   2 Stuart Holland,Labour Party
   2 Steven Woolfe,Conservative Party
   2 Steve Coogan,Unknown
   2 Stephen Pollard,Unknown
   2 Stan Orme,Labour Party
   2 Simon Weston,Unknown
   2 Sidney Weighell,Unknown
   2 Shirley Porter,Unknown
   2 Shirley Goodwin,Unknown
   2 Sam Gyimah,Conservative Party
